message_id,user_id,created_at_utc,message,"Right now, I feel satisfied with myself","Right now, I have a positive attitude towards myself","Right now, I feel I have a number of good qualities",Remove
1245513173890994182,21611439,2020-04-02 0:47:35,A better April Fool's prank would have been Ken secretly vaccinating Jenny's kids #TheMaskedSinger,50,50,50,0
1245374985931194369,540295552,2020-04-01 15:38:29,"Okay last i checked there was 30,000 deaths and that was about two days ago. Now its 42,000. Wild. And me and my boyfriend are both out here WORKING. 😩😅",50,50,50,0
1243281500939808768,98547509,2020-03-26 0:00:00,<USER> I mean technically millions of possible people will die if he jerks it.......,50,50,50,0
1239209598134947842,189110714,2020-03-15 15:19:26,@el_budget I wore a shining blue leather pants and jacket wit matching wallabies 😩😩 couldn’t tell me i was DiDDY,50,50,50,0
1250260375976718338,207589269,2020-04-15 3:11:17,@BreeDaAuraGod_ 😂😂😂,,,,1
1252023537008816128,21413442,2020-04-19 23:57:27,"@DoobieMilesEPL hey there, I no longer work directly on Uk coverage, but we just launched in the UK with somewhere around 60+ journalists—hate to deliver bad news but I think they're covered.",50,50,50,0
1247845205333684229,335377692,2020-04-08 11:14:15,RT @Pontifex: Let's think of the little Judas that we all have within ourselves. Every one of us is capable of choosing between loyalty and self-interest. We are each capable of betraying of selling of making choices based on our own interests. Where are you Judas? #HomilySantaMarta,70,70,70,0
1250664751614443520,1036914314924310529,2020-04-16 5:58:07,"@gxdbrand $9,000*",,,,1
1251713204679409664,81926795,2020-04-19 3:24:18,@Beckeechu Yeah :( wish more fan sites would keep their melanin,50,50,50,0
1249318057102708737,907772283758018561,2020-04-12 12:46:50,@dapperjamal And you'll look nice in my mouth,80,80,80,0
1259946988197593089,856394361826942976,2020-05-11 20:42:25,@lilsblilsblilsb They scary,50,50,50,0
1246081818262192128,737314946,2020-04-03 14:27:11,ok tell me what you want from me you see I’ve been abused.,50,50,50,0
1250246717364031488,1378405376,2020-04-15 2:17:00,Can y’all stop treating my friends like they are average please and thank you,40,40,40,0
1241903102258827264,261789141,2020-03-23 1:42:27,if we make it out of this pandemic the first thing i’m doing to going to an edm festival,50,50,50,0
1238898149785128960,1451169337,2020-03-14 18:41:51,"@kzshabazz @CGaggeroni @Black_Action @BernieSanders He didn't endorse or even agree,so he's just as bad as the rest",50,50,50,0
1248276771927199745,432964727,2020-04-09 15:49:08,@juiceDiem why do you care if people watch you play ff7? its your most anticipated game of all time just enjoy it!,50,50,50,0
1249849581795500037,159829518,2020-04-13 23:58:56,"""RT @democracynow: Trump Moves to Slash Pay for Migrant Farmworkers Despite """"Essential"""" Designation #CoronavirusRoundup """,50,50,50,0
1247240437729017862,155866327,2020-04-06 19:11:07,I just heard the word BAMF in 2020 and I had so many flashbacks in a matter of seconds,50,50,50,0
1241490973693112320,972203593624297472,2020-03-21 0:00:00,@jakern41 @shannonrwatts Sort of cry-laughing.,50,50,50,0
1243660907709747200,3019040466,2020-03-27 22:07:21,Since I don’t have a lab class anymore I decided to give myself a long set of nails and WOW I I haven’t felt this powerful in so long. My bad bitch levels have risen drastically and have gone back to normal.,90,90,90,0
1248211665146875904,104517646,2020-04-09 11:30:26,You’re not known for being shy about what you want but the da... More for Aries,50,50,50,0
1246789077116030976,20857165,2020-04-05 13:17:34,The deepest doubt builds the strongest faith.,60,60,60,0
1250576900285759488,2820012597,2020-04-16 0:09:02,I did not trade the second wave up off bottom very much caught the first wave well. Became too conservative still up just about every week in 2020 but it is treacherous and I have moved to cash. My sense is economics will dominate the market and not new #Covid19 case data.,50,50,50,0
1250485227551698947,606156045,2020-04-15 18:04:45,@goldyeghoran @rachelyohee @PopTartsUS Finally a normal human ??,,,,1
1236858608446570497,786349637837946880,2020-03-09 3:37:26,that movie was so good ???,50,50,50,0
1251995376246075393,2528713267,2020-04-19 22:05:33,RT @HenAndYTQueens: I AM C R Y I N G,80,80,80,0
1244487922931425285,1122320592135491584,2020-03-30 4:53:36,RT @emiigarre: soy horriblee por dioss,,,,1
1238476771244326913,363319393,2020-03-13 14:47:26,*lands in Ft. Lauderdale*n n*immediately changes into a bikini* nn#springbreakpt2,50,50,50,0
1245171361481457665,179359317,2020-04-01 2:09:21,@BlackMightyDuck You’re fucking dead to me,80,80,80,0
1243639438980218881,593834225,2020-03-27 20:42:02,This 16-yr old high school wrestler Canaan Bower is a hero putting himself in harm's way to subdue a violent kidnapper trying to take a 2-yr old boy. Bill @pulte I love your work maybe Canaan Bower would be a good recipient for your next reward? #HERO n,90,90,90,0
1247682486722838528,701687339,2020-04-08 0:27:40,my trending topics read The Xbox - Birther.,50,50,50,0
1245788038954975232,3541431494,2020-04-02 18:59:48,Re-imagine your understanding of robots. Ohmni allows you to interact with people and the environment in a way that no existing video conferencing tools allow - with just one click.nnTo learn how we aim to bring affordable robots mainstream visit,50,50,50,0
1244002826574946309,725511578964004864,2020-03-28 20:46:00,@alyssssamerrill get ur ass to clovis rn my parents love you,80,80,80,0
